,AT_transversion,AT_transition,GC_transversion,CpG_transversion,GC_transition,CpG_transition,feature
DO52721,0.0,0.0,0.0,0.0,33.33,66.67,Lymph-CLL
DO7172,0.0,0.0,0.0,0.0,0.0,100.0,Lymph-CLL
DO6350,25.0,0.0,0.0,0.0,25.0,50.0,Lymph-CLL
DO52712,25.0,0.0,0.0,0.0,50.0,25.0,Lymph-CLL
DO6390,16.67,0.0,0.0,0.0,16.67,66.67,Lymph-CLL
DO6352,33.33,0.0,33.33,0.0,0.0,33.33,Lymph-CLL
DO6434,0.0,0.0,0.0,0.0,0.0,100.0,Lymph-CLL
DO6418,0.0,20.0,0.0,10.0,20.0,50.0,Lymph-CLL
DO52699,0.0,16.67,0.0,0.0,66.67,16.67,Lymph-CLL
DO6436,0.0,0.0,50.0,50.0,0.0,0.0,Lymph-CLL
DO7136,0.0,16.67,16.67,0.0,50.0,16.67,Lymph-CLL
DO52716,0.0,25.0,25.0,0.0,0.0,50.0,Lymph-CLL
DO52720,33.33,33.33,0.0,0.0,0.0,33.33,Lymph-CLL
DO6946,0.0,0.0,0.0,100.0,0.0,0.0,Lymph-CLL
DO6398,8.33,25.0,0.0,8.33,16.67,41.67,Lymph-CLL
DO52704,0.0,12.5,12.5,12.5,12.5,50.0,Lymph-CLL
DO219965,5.26,5.26,0.0,0.0,68.42,21.05,SoftTissue-Liposarc
DO219952,0.0,12.5,12.5,0.0,62.5,12.5,SoftTissue-Liposarc
DO219949,0.0,7.69,38.46,0.0,42.31,11.54,SoftTissue-Liposarc
DO219954,8.33,33.33,8.33,8.33,41.67,0.0,SoftTissue-Liposarc
DO219972,0.0,0.0,0.0,16.67,16.67,66.67,SoftTissue-Liposarc
DO219960,14.29,14.29,0.0,0.0,14.29,57.14,SoftTissue-Liposarc
DO219951,12.82,7.69,23.08,5.13,25.64,25.64,SoftTissue-Liposarc
DO219945,7.69,0.0,30.77,0.0,53.85,7.69,SoftTissue-Liposarc
DO219961,18.18,9.09,18.18,0.0,36.36,18.18,SoftTissue-Liposarc
DO219970,7.14,7.14,0.0,0.0,64.29,21.43,SoftTissue-Liposarc
DO220116,9.52,9.52,4.76,4.76,42.86,28.57,SoftTissue-Liposarc
DO219967,0.0,11.11,0.0,0.0,55.56,33.33,SoftTissue-Liposarc
DO219964,0.0,0.0,37.5,0.0,62.5,0.0,SoftTissue-Liposarc
DO219968,0.0,0.0,40.0,0.0,60.0,0.0,SoftTissue-Liposarc
DO219966,18.18,0.0,27.27,0.0,45.45,9.09,SoftTissue-Liposarc
DO219944,8.33,25.0,8.33,0.0,50.0,8.33,SoftTissue-Liposarc
DO219962,0.0,22.22,0.0,0.0,33.33,44.44,SoftTissue-Liposarc
DO219973,,,,,,,SoftTissue-Liposarc
DO219969,5.56,11.11,5.56,5.56,61.11,11.11,SoftTissue-Liposarc
DO220479,21.05,21.05,15.79,5.26,31.58,5.26,Kidney-ChRCC
DO220338,0.0,0.0,0.0,16.67,16.67,66.67,Kidney-ChRCC
DO220363,0.0,33.33,0.0,0.0,0.0,66.67,Kidney-ChRCC
DO220355,0.0,16.67,0.0,0.0,16.67,66.67,Kidney-ChRCC
DO220468,20.0,0.0,0.0,0.0,40.0,40.0,Kidney-ChRCC
DO220519,10.0,0.0,20.0,0.0,40.0,30.0,Kidney-ChRCC
DO220336,10.0,20.0,0.0,10.0,10.0,50.0,Kidney-ChRCC
