gene	expr	reptime	hic
ANAPC13	254024.0	188.0	16.0
ANAPC16	764632.0	140.0	40.0
ANAPC2	1722012.0	202.0	36.0
ANAPC4	233480.0	611.0	44.0
ANAPC5	959300.0	258.0	39.0
ANAPC7	964525.0	206.0	50.0
ANG			
ANGEL1	308800.0	471.0	39.0
ANGEL2	315884.0	412.0	12.0
ANGPT1	50022.0	671.0	-19.0
ANGPT2			
ANGPT4	824412.0	579.0	36.0
ANGPTL1			
ANGPTL2			
ANGPTL3			
ANGPTL4	726988.0	204.0	0.0
ANGPTL5	416999.0	514.0	-21.0
ANGPTL6	1675365.0	272.0	15.0
ANGPTL7			
ANK1	574508.0	533.0	36.0
ANK2	237324.0	911.0	14.0
ANK3	213806.0	634.0	-8.0
ANKAR	408508.0	452.0	20.0
ANKDD1A	705779.0	185.0	57.0
ANKFN1	184382.0	511.0	-53.0
ANKFY1	816229.0	357.0	26.0
ANKH	503265.0	410.0	8.0
ANKHD1			
ANKHD1-EIF4EBP3	688522.0	296.0	30.0
ANKIB1	708388.0	452.0	30.0
ANKK1	107636.0	610.0	12.0
ANKLE1	865138.0	212.0	38.0
ANKLE2	779125.0	601.0	32.0
ANKMY1	452566.0	485.0	21.0
ANKMY2	291955.0	612.0	-13.0
ANKRA2	403014.0	289.0	42.0
ANKRD1	103854.0	510.0	4.0
ANKRD10	506421.0	402.0	22.0
ANKRD11	1263742.0	322.0	40.0
ANKRD12	434324.0	391.0	56.0
ANKRD13A	950689.0	254.0	54.0
ANKRD13B	719319.0	383.0	30.0
ANKRD13C	295772.0	396.0	-1.0
ANKRD13D	1369264.0	177.0	44.0
ANKRD16	649866.0	305.0	28.0
ANKRD17	265492.0	747.0	19.0
ANKRD2	564805.0	169.0	40.0
ANKRD20A1			
ANKRD20A3			
ANKRD20A4			
ANKRD22	175425.0	289.0	26.0
ANKRD23	822597.0	392.0	46.0
ANKRD24	2194691.0	244.0	41.0
ANKRD26	390573.0	459.0	24.0
ANKRD27	369667.0	455.0	-38.0
ANKRD28	345831.0	435.0	29.0
ANKRD29	331927.0	138.0	67.0
ANKRD30A	53742.0	1067.0	-43.0
ANKRD32	54375.0	399.0	20.0
ANKRD33	570716.0	438.0	22.0
ANKRD34A			
ANKRD34B	321394.0	545.0	38.0
ANKRD35			
ANKRD36B	390850.0	455.0	29.0
ANKRD37	173409.0	422.0	20.0
ANKRD39	822597.0	392.0	46.0
ANKRD40	1585602.0	196.0	18.0
ANKRD42	308108.0	414.0	18.0
SOWAHA	718028.0	356.0	58.0
ANKRD44	744603.0	444.0	27.0
ANKRD45	432542.0	423.0	4.0
ANKRD46	1144761.0	214.0	67.0
ANKRD49	341083.0	589.0	-7.0
ANKEF1	194301.0	442.0	-34.0
ANKRD50	47412.0	616.0	-24.0
ANKRD52	2878071.0	171.0	46.0
ANKRD53	380551.0	561.0	27.0
ANKRD54	1385064.0	203.0	66.0
ANKRD55	248990.0	402.0	45.0
SOWAHB	411278.0	462.0	26.0
SOWAHC	191347.0	329.0	22.0
SOWAHD	649508.0		73.0
ANKRD6	403943.0	609.0	43.0
ANKRD7	72287.0	922.0	-13.0
ANKRD9	1673146.0	191.0	42.0
ANKS1A	664697.0	304.0	26.0
ANKS1B	149256.0	941.0	-9.0
ANKS3	717235.0	194.0	35.0
ANKS4B	402663.0	575.0	41.0
ANKS6	298496.0	375.0	12.0
ANKZF1	733837.0	158.0	40.0
ANLN	332583.0	329.0	21.0
ANO1	763592.0	286.0	35.0
ANO10	106227.0	518.0	29.0
ANO2	349024.0	712.0	13.0
ANO3	20260.0	970.0	-20.0
ANO4	245388.0	937.0	-16.0
ANO5	51558.0	935.0	-7.0
ANO6	313473.0	719.0	1.0
ANO7	1333138.0	317.0	35.0
ANO8	842088.0	211.0	43.0
ANO9	2206786.0	344.0	58.0
ANP32A	437749.0	562.0	32.0
ANP32B	466644.0	269.0	42.0
ANP32C			
ANP32D	904892.0	390.0	11.0
ANP32E	1207965.0	197.0	39.0
ANPEP	934542.0	212.0	37.0
ANTXR1	338803.0	288.0	14.0
ANTXR2	62176.0	905.0	6.0
ZFAND4	111914.0	603.0	36.0
ANXA1	247950.0	411.0	-15.0
ANXA10	55532.0	402.0	-16.0
ANXA11	366637.0	626.0	7.0
ANXA13	492587.0	192.0	12.0
ANXA2	431518.0	299.0	14.0
ANXA3	243621.0	351.0	21.0
ANXA4	864962.0	193.0	50.0
ANXA5	311234.0	440.0	9.0
ANXA6	926280.0	300.0	41.0
ANXA7	847821.0	249.0	45.0
ANXA8			
ANXA8L1			
ANXA8L2			
ANXA9	1621279.0	172.0	30.0
AOAH	247838.0	600.0	15.0
AOC2	1631295.0	190.0	28.0
AOC3	1629499.0	190.0	23.0
AOX1	572062.0	160.0	23.0
AP1AR	181002.0	351.0	22.0
AP1B1	849693.0	251.0	36.0
AP1G1	460697.0		24.0
AP1G2	1250373.0	553.0	35.0
AP1M1	814131.0	255.0	26.0
AP1M2	2036812.0	226.0	23.0
AP1S1	1044715.0	199.0	39.0
AP1S2	170722.0		47.0
AP1S3	263604.0	197.0	16.0
AP2A1	1686482.0	172.0	42.0
AP2A2	1509286.0	246.0	48.0
